Set,Seq,Display,API actual,Mismatch,Aantal records (in scope),Notes
Categorie_n,1,Vloeren,Vloeren,,3260,
Categorie_n,2,Gordijnen,Gordijnen,,255,
Categorie_n,3,Zonwering (binnen),Binnenzonwering,Ja,3,
Categorie_n,4,Shutters,Shutter,Ja,0,
Categorie_n,5,Traprenovatie,Traprenovatie,,373,
Categorie_n,6,Wandpanelen,Lattenwand,Ja,12,
Categorie_n,7,Accessoires,Accessoires,,767,
Categorie_n,8,Diensten,Dienst,Ja,234,
Categorie_n,9,Vloer,Hardware,Ja,0,Zoho-default leftover — kandidaat om te verwijderen
Categorie_n,10,Vitrage,CRM Applications,Ja,0,Zoho-default leftover — kandidaat om te verwijderen
Categorie_n,11,Legartikel,Software,Ja,0,Zoho-default leftover — kandidaat om te verwijderen
Categorie_n,12,Raamdecoratie,Raamdecoratie,,1,
Categorie_n,13,Ondergrond,Ondergrond,,0,
Categorie_n,14,Vloerverwarming,Vloerverwarming,,0,
Categorie_n,,LEEG,,,2813,45% van Products heeft geen Hoofdcategorie
,,,,,,
Vestigingen,1,Alle,Alle,,0,Sentinel-waarde
Vestigingen,2,Amersfoort,Amersfoort,,1,
Vestigingen,3,Amsterdam – Oostzaan,Amsterdam – Oostzaan,,0,
Vestigingen,4,Amsterdam – Zuidoost,Amsterdam – Zuidoost,,0,
Vestigingen,5,Breda,Breda,,0,
Vestigingen,6,Capelle aan den IJssel,Capelle aan den IJssel,,0,
Vestigingen,7,Delft,Delft,,0,
Vestigingen,8,Den Bosch,Den Bosch,,0,
Vestigingen,9,Eindhoven,Eindhoven,,0,
Vestigingen,10,Enschede,Enschede,,0,
Vestigingen,11,Groningen,Groningen,,0,
Vestigingen,12,Hoogeveen,Hoogeveen,,0,
Vestigingen,13,Leeuwarden,Leeuwarden,,0,
Vestigingen,14,Leiden,Leiden,,0,
Vestigingen,15,Tilburg,Tilburg,,0,
Vestigingen,16,Utrecht,Utrecht,,0,
Vestigingen,17,Veenendaal,Veenendaal,,0,
Vestigingen,,(scope-limiet),,,23/?,Token ziet 23 Contacts in totaal; volledige analyse vereist breder OAuth-scope
,,,,,,
Tijdlijn_omschrijvingen,1,DE-010 - Electra begin/eind,DE10 - Electra begin/eind,Ja,3,
Tijdlijn_omschrijvingen,2,DE-011 - Keuken begin/eind,DE11 - Keuken begin/eind,Ja,4,
Tijdlijn_omschrijvingen,3,DE-012 - Meubels,DE12 - Meubels,Ja,6,
Tijdlijn_omschrijvingen,4,DE-013 - Oplevering aanbouw,DE13 - Oplevering aanbouw,Ja,1,
Tijdlijn_omschrijvingen,5,DE-014 - Oplevering nieuwbouw,DE14 - Oplevering nieuwbouw,Ja,1,
Tijdlijn_omschrijvingen,6,DE-015 - Oplevering verbouw,DE15 - Oplevering verbouw,Ja,2,
Tijdlijn_omschrijvingen,7,DE-016 - Schilderwerk begin/eind,DE16 - Schilderwerk begin/eind,Ja,2,
Tijdlijn_omschrijvingen,8,DE-017 - Storten dekvloer aanbouw,DE17 - Storten dekvloer aanbouw,Ja,1,
Tijdlijn_omschrijvingen,9,DE-018 - Storten dekvloer muur,DE18 - Storten dekvloer muur,Ja,1,
Tijdlijn_omschrijvingen,10,DE-019 - Storten dekvloer nieuwbouw,Storten dekvloer,Ja,4,Volledig ander actual
Tijdlijn_omschrijvingen,11,DE-020 - Storten dekvloer verbouw,DE20 - Storten dekvloer verbouw,Ja,2,
Tijdlijn_omschrijvingen,12,DE-021 - Stucwerk begin/eind,DE21 - Stucwerk begin/eind,Ja,4,
Tijdlijn_omschrijvingen,13,DE-022 - Verwijderen muur,DE22 - Verwijderen muur,Ja,2,
Tijdlijn_omschrijvingen,14,DE-023 - Verwijderen vloer,Vloer verwijderen,Ja,7,Volledig ander actual
Tijdlijn_omschrijvingen,15,DE-024 - Vloerverwarming aanleggen,DE24 - Vloerverwarming aanleggen,Ja,3,
Tijdlijn_omschrijvingen,16,DE-025 - Einde droogperiode dekvloer,DE-025 - Einde droogperiode dekvloer,,3,
Tijdlijn_omschrijvingen,17,DE-026 - Trap installatie,DE-026 - Trap installatie,,2,
Tijdlijn_omschrijvingen,18,KL-010 - Acclimatiseren - begin/eind,KL10 - Acclimatiseren - begin/eind,Ja,2,
Tijdlijn_omschrijvingen,19,KL-011 - Beoordeling basisvloer (volledig leeg),KL11 - Beoordeling basisvloer (volledig leeg),Ja,1,
Tijdlijn_omschrijvingen,20,KL-012 - Einde droogperiode stucwerk,KL12 - Einde droogperiode stucwerk,Ja,2,
Tijdlijn_omschrijvingen,21,KL-013 - Einde droogperiode schilderwerk,KL13 - Einde droogperiode schilderwerk,Ja,2,
Tijdlijn_omschrijvingen,22,KL-014 - Opstookprotocol - begin/eind,KL14 - Opstookprotocol - begin/eind,Ja,4,
Tijdlijn_omschrijvingen,23,KL-015 - Sleuteloverdracht,Sleuteloverdracht,Ja,50,Volledig ander actual
Tijdlijn_omschrijvingen,24,KL-016 - Verhuizing,Verhuizing,Ja,9,Volledig ander actual
Tijdlijn_omschrijvingen,25,KL-017 - Vloerverwarming activeren,KL17 - Vloerverwarming activeren,Ja,1,
Tijdlijn_omschrijvingen,26,KL-018 - Gewenste leverdatum,KL-018 - Gewenste leverdatum,,79,Meest gebruikt
Tijdlijn_omschrijvingen,27,LA-009 - Extra egaliseren voor aanleggen vloerverwarming,LA-009 - Extra egaliseren voor aanleggen vloerverwarming,,0,
Tijdlijn_omschrijvingen,28,LA-010 - 1ste Egalisatie,LA10 - 1ste Egalisatie,Ja,0,
Tijdlijn_omschrijvingen,29,LA-011 - 2de Egalisatie,LA11 - 2de Egalisatie,Ja,0,
Tijdlijn_omschrijvingen,30,LA-012 - Uitvoerder bekend,LA12 - Uitvoerder bekend,Ja,0,
Tijdlijn_omschrijvingen,31,LA-013 - Droogbouw,LA13 - Droogbouw,Ja,0,
